DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum,Quality Review - How effective is the teaching and learning,Quality Review - How well does the school assess what students are learning,Quality Review - How clearly are high expectations communicated to students and staff,Quality Review - How well do teachers work with each other,Quality Review - How safe and inclusive is the school while supporting social-emotional growth,Quality Review - How well does the school allocate and manage resources,"Quality Review - How well does the school identify, track, and meet its goals",Quality Review - How thoughtful is the school s approach to teacher development and evaluation,Quality Review - How well are school decisions evaluated and adjusted,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent Overage/Undercredited,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
01M292,Orchard Collegiate Academy,High School,197,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,73.0%,78.0%,76.0%,83.0%,85.0%,90.0%,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Well Developed,Proficient,April 2017,2.70,2.33,11.7%,28.9%,0.5%,0.87,4.1%,18.3%,78.2%,9.6%,26.9%,56.9%,3.0%,4.00,75.0%,91.7%,28.9%,97.0%
01M448,University Neighborhood High School,High School,483,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,86.0%,91.0%,83.0%,91.0%,86.0%,93.0%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,May-19,2.97,2.99,14.7%,17.0%,0.0%,0.83,6.8%,18.0%,72.3%,36.9%,19.5%,38.3%,4.6%,0.70,60.0%,90.9%,27.4%,96.7%
01M450,East Side Community School,High School,370,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,90.0%,95.0%,84.0%,95.0%,97.0%,95.0%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,26-May-15,3.07,3.06,1.6%,24.6%,0.0%,0.68,1.4%,8.4%,54.1%,13.0%,19.2%,52.2%,12.4%,17.90,81.1%,93.8%,14.6%,97.5%
01M509,Marta Valle High School,High School,127,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Meeting Target,66.0%,54.0%,63.0%,59.0%,80.0%,71.0%,Developing,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,December 2016,2.79,2.36,6.3%,27.6%,4.7%,0.81,7.9%,13.4%,74.0%,7.1%,37.0%,51.2%,2.4%,4.10,38.5%,79.6%,62.8%,96.9%
01M539,"New Explorations into Science, Technology and Math",High School,615,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,83.0%,75.0%,71.0%,77.0%,92.0%,82.0%,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Well Developed,April 2017,3.70,3.90,0.3%,14.3%,0.2%,0.40,1.1%,2.0%,28.5%,26.8%,12.4%,18.7%,39.0%,4.10,73.8%,95.2%,9.6%,96.5%
01M696,Bard High School Early College,High School,615,Exceeding Target,Approaching Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,88.0%,77.0%,81.0%,85.0%,87.0%,87.0%,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Developing,Proficient,November-18,3.88,4.10,0.2%,7.6%,0.0%,0.40,0.0%,2.6%,29.3%,29.3%,11.1%,17.1%,39.8%,8.90,86.8%,94.8%,11.4%,97.0%
02M047,47 The American Sign Language and English Secondar,High School,196,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Exceeding Target,68.0%,72.0%,68.0%,74.0%,82.0%,82.0%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,"February 12, 2015",2.93,2.69,4.6%,27.0%,1.0%,0.77,5.1%,16.3%,67.3%,3.1%,27.6%,64.3%,4.6%,11.10,36.4%,90.0%,35.2%,97.5%
02M135,The Urban Assembly School for Emergency Management,High School,265,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,79.0%,80.0%,67.0%,80.0%,86.0%,86.0%,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,October 2016,2.85,2.49,3.4%,22.3%,0.4%,0.81,8.3%,15.8%,70.2%,6.0%,28.3%,60.0%,3.4%,1.10,70.8%,86.0%,46.5%,96.7%
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,High School,401,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,71.0%,74.0%,65.0%,79.0%,84.0%,83.0%,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,November-18,2.74,2.59,7.2%,25.7%,0.0%,0.83,5.2%,11.7%,72.1%,4.2%,26.4%,63.1%,4.2%,6.10,65.9%,84.9%,52.7%,97.1%
02M260,The Clinton School,High School,433,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,81.0%,76.0%,71.0%,77.0%,83.0%,86.0%,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,December-18,3.68,3.62,0.5%,18.0%,0.0%,0.25,0.0%,0.9%,15.2%,11.1%,5.5%,14.3%,62.8%,7.90,73.5%,94.6%,14.9%,97.3%
02M280,Manhattan Early College School for Advertising,High School,416,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,75.0%,70.0%,74.0%,74.0%,90.0%,83.0%,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Proficient,Well Developed,Proficient,October-18,2.98,2.80,3.8%,18.3%,0.0%,0.72,4.3%,11.5%,60.3%,9.9%,36.1%,45.0%,5.3%,1.10,71.4%,89.2%,32.7%,97.2%
02M282,Urban Assembly Maker Academy,High School,390,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,80.0%,82.0%,76.0%,92.0%,91.0%,92.0%,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,November 2016,2.94,2.81,3.8%,19.0%,0.3%,0.72,4.4%,8.7%,60.8%,8.2%,26.9%,49.7%,10.8%,5.10,58.6%,88.9%,32.9%,97.1%
02M288,Food and Finance High School,High School,375,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Meeting Target,74.0%,65.0%,58.0%,67.0%,79.0%,80.0%,Proficient,Proficient,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Developing,May 2017,2.81,2.62,3.2%,19.7%,0.3%,0.78,1.6%,10.4%,68.3%,5.9%,36.0%,53.9%,2.9%,15.10,79.3%,88.0%,39.5%,94.5%
02M294,Essex Street Academy,High School,339,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,86.0%,95.0%,81.0%,94.0%,91.0%,96.0%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,19-May-16,2.97,2.65,3.5%,27.1%,0.0%,0.69,4.1%,8.8%,56.3%,6.2%,34.5%,42.8%,10.6%,3.70,92.6%,88.6%,34.7%,96.7%
02M296,High School of Hospitality Management,High School,380,Approaching Target,Approaching Target,Meeting Target,Approaching Target,,,Meeting Target,79.0%,76.0%,68.0%,82.0%,88.0%,86.0%,Developing,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Developing,Developing,Developing,February-19,2.67,2.35,9.2%,26.1%,0.8%,0.87,8.4%,15.8%,78.9%,5.0%,27.6%,64.5%,1.8%,6.90,78.6%,84.1%,42.1%,97.1%
02M298,Pace High School,High School,572,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,75.0%,79.0%,71.0%,80.0%,84.0%,86.0%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Proficient,Proficient,Proficient,October-18,2.98,2.80,3.0%,18.4%,0.0%,0.75,4.0%,8.7%,63.1%,4.5%,33.0%,54.0%,4.0%,3.70,79.5%,86.9%,44.5%,96.6%
02M300,"Urban Assembly School of Design and Construction,",High School,302,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Approaching Target,79.0%,82.0%,72.0%,90.0%,92.0%,94.0%,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Developing,Proficient,Proficient,April-19,2.65,2.56,11.6%,25.8%,0.7%,0.86,8.6%,17.2%,76.8%,5.6%,22.5%,68.2%,2.6%,0.90,60.9%,81.3%,48.2%,97.1%
02M303,"Facing History School, The",High School,372,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,78.0%,86.0%,72.0%,93.0%,89.0%,95.0%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,"March 13, 2015",2.62,2.37,11.0%,24.5%,0.0%,0.86,12.4%,17.2%,76.6%,1.1%,25.5%,69.9%,2.2%,7.90,70.0%,80.0%,56.6%,95.8%
02M305,"Urban Assembly Academy of Government and Law, The",High School,324,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,77.0%,80.0%,70.0%,88.0%,94.0%,87.0%,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,January 2017,2.84,2.54,4.0%,20.7%,0.6%,0.85,5.9%,17.0%,76.9%,5.9%,34.0%,56.5%,3.1%,5.00,56.0%,85.2%,46.4%,97.0%
02M308,Lower Manhattan Arts Academy,High School,290,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Not Meeting Target,Not Meeting Target,Meeting Target,68.0%,53.0%,61.0%,47.0%,78.0%,67.0%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Proficient,March 2018,2.70,2.34,6.9%,36.6%,2.1%,0.82,7.2%,14.5%,69.3%,8.6%,28.6%,58.3%,2.8%,0.10,76.9%,86.8%,43.8%,95.6%
02M316,"Urban Assembly School of Business for Young Women,",High School,179,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,91.0%,97.0%,85.0%,98.0%,87.0%,94.0%,Proficient,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,January 2017,2.93,2.56,7.3%,16.8%,0.0%,0.84,11.2%,12.8%,76.0%,5.6%,49.2%,37.4%,3.4%,14.10,60.0%,81.1%,51.3%,97.2%
02M374,Gramercy Arts High School,High School,468,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,73.0%,73.0%,59.0%,72.0%,83.0%,81.0%,Proficient,Developing,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,January 2017,3.11,2.82,2.1%,17.1%,0.6%,0.76,3.8%,9.8%,65.2%,4.5%,32.7%,51.9%,6.4%,5.10,76.5%,83.8%,49.6%,94.6%
02M376,NYC iSchool,High School,466,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,87.0%,88.0%,83.0%,90.0%,88.0%,94.0%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,5-Feb-16,3.67,3.70,1.1%,16.5%,0.4%,0.34,1.3%,4.7%,21.2%,8.4%,14.8%,22.3%,48.7%,6.90,81.8%,94.7%,11.4%,98.2%
02M392,Manhattan Business Academy,High School,414,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,81.0%,84.0%,71.0%,88.0%,80.0%,89.0%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,"March 3, 2015",2.87,2.66,6.3%,21.0%,0.2%,0.81,6.8%,14.7%,71.0%,6.3%,22.5%,65.0%,4.6%,10.10,75.0%,84.8%,45.4%,97.4%
02M393,Business Of Sports School,High School,429,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,74.0%,76.0%,70.0%,81.0%,89.0%,87.0%,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,October 2017,2.59,2.37,8.2%,24.2%,0.2%,0.80,4.2%,15.2%,68.8%,1.2%,32.9%,61.1%,3.0%,10.10,65.8%,84.7%,51.3%,95.1%
02M399,The High School For Language And Diplomacy,High School,302,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,67.0%,57.0%,61.0%,59.0%,75.0%,74.0%,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,May 2018,2.85,2.79,10.9%,17.5%,1.0%,0.83,8.6%,12.3%,72.5%,24.2%,23.2%,46.4%,3.3%,3.50,68.4%,83.0%,47.2%,97.1%
02M400,High School for Environmental Studies,High School,1146,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,82.0%,79.0%,73.0%,84.0%,88.0%,87.0%,Well Developed,Proficient,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,January 2018,2.98,2.91,8.7%,18.9%,2.0%,0.79,6.1%,11.1%,68.1%,11.1%,16.1%,64.9%,6.5%,3.50,85.3%,86.1%,35.0%,96.7%
02M407,Institute for Collaborative Education,High School,277,,,Meeting Target,,,,Exceeding Target,76.0%,78.0%,73.0%,75.0%,93.0%,81.0%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,26-May-16,2.92,2.77,0.7%,19.1%,0.0%,0.39,4.0%,6.5%,25.3%,6.1%,21.7%,20.2%,48.7%,7.50,85.2%,91.6%,17.6%,96.5%
02M408,Professional Performing Arts High School,High School,435,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,77.0%,80.0%,70.0%,84.0%,87.0%,86.0%,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Proficient,March 2018,3.47,3.42,0.2%,14.5%,0.0%,0.40,1.6%,4.8%,23.9%,7.6%,22.5%,20.9%,43.2%,14.10,86.2%,93.3%,18.3%,96.7%
02M411,Baruch College Campus High School,High School,475,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Approaching Target,Exceeding Target,83.0%,65.0%,75.0%,65.0%,86.0%,79.0%,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Proficient,Proficient,Well Developed,Proficient,November 2017,3.74,3.91,1.1%,11.8%,0.2%,0.40,0.8%,5.9%,31.2%,35.4%,3.6%,13.7%,43.2%,15.30,77.8%,96.0%,8.2%,97.3%
02M412,N.Y.C. Lab School for Collaborative Studies,High School,471,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,85.0%,89.0%,79.0%,92.0%,91.0%,93.0%,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,,,,,,"January 7, 2015",3.74,3.85,0.6%,20.6%,0.0%,0.30,0.8%,2.5%,20.6%,19.1%,3.6%,12.3%,57.5%,12.90,90.5%,93.8%,16.0%,97.2%
02M413,School of the Future High School,High School,445,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,79.0%,80.0%,75.0%,84.0%,90.0%,83.0%,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,February-19,3.37,3.39,0.2%,19.6%,0.0%,0.43,1.1%,6.7%,31.5%,18.2%,11.0%,26.7%,35.1%,11.90,74.5%,94.5%,14.3%,97.3%
02M414,N.Y.C. Museum School,High School,449,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Exceeding Target,80.0%,72.0%,72.0%,72.0%,83.0%,77.0%,Proficient,Well Developed,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,December 2016,3.63,3.69,0.9%,20.3%,0.2%,0.56,0.7%,4.5%,44.1%,24.5%,13.6%,37.6%,22.3%,14.10,71.4%,92.9%,20.6%,97.4%
02M416,Eleanor Roosevelt High School,High School,530,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,89.0%,77.0%,84.0%,82.0%,90.0%,89.0%,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Proficient,April 2017,4.02,4.18,0.0%,15.5%,0.0%,0.20,0.6%,0.9%,13.0%,15.8%,2.6%,10.0%,67.5%,11.10,84.8%,96.8%,5.5%,97.1%
02M418,Millennium High School,High School,681,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,85.0%,81.0%,80.0%,84.0%,84.0%,86.0%,Proficient,Developing,Developing,Well Developed,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,March 2017,3.80,3.96,0.7%,12.5%,0.0%,0.48,0.4%,5.6%,38.9%,47.0%,3.8%,11.0%,32.0%,7.10,89.7%,97.0%,6.1%,97.6%
02M419,Landmark High School,High School,330,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,76.0%,85.0%,72.0%,89.0%,89.0%,90.0%,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,December 2017,2.67,2.35,5.5%,22.4%,0.0%,0.83,7.3%,13.6%,72.1%,3.0%,33.9%,59.1%,2.4%,6.90,73.1%,79.9%,60.7%,95.6%
02M420,High School for Health Professions and Human Servi,High School,1825,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Not Meeting Target,Meeting Target,Exceeding Target,83.0%,81.0%,76.0%,79.0%,78.0%,85.0%,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,April-19,3.17,3.19,4.2%,13.0%,0.2%,0.75,3.5%,8.1%,65.0%,22.0%,15.6%,53.0%,7.9%,9.90,81.1%,92.0%,21.8%,96.5%
02M422,Quest to Learn,High School,378,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,83.0%,92.0%,71.0%,92.0%,88.0%,91.0%,Proficient,Proficient,Developing,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,Developing,March 2017,2.84,2.58,3.7%,28.0%,0.3%,0.65,4.0%,11.4%,55.3%,11.9%,20.4%,43.1%,20.9%,3.10,87.8%,86.4%,42.3%,96.8%
02M425,Leadership and Public Service High School,High School,473,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,83.0%,82.0%,75.0%,80.0%,83.0%,87.0%,Developing,Developing,Developing,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Developing,January 2017,2.83,2.61,4.9%,20.1%,0.0%,0.83,8.7%,12.3%,74.6%,8.5%,26.8%,59.0%,3.6%,8.10,76.7%,83.2%,50.1%,96.5%
02M427,Manhattan Academy For Arts & Language,High School,233,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,90.0%,92.0%,75.0%,94.0%,89.0%,90.0%,Proficient,Proficient,Proficient,Proficient,Proficient,,,,,,"December 16, 2014",2.01,2.08,67.4%,12.4%,1.3%,0.96,30.9%,43.3%,77.7%,0.9%,2.1%,94.8%,2.1%,9.10,94.7%,86.5%,43.8%,96.0%
02M432,Murray Hill Academy,High School,304,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,87.0%,91.0%,79.0%,91.0%,87.0%,92.0%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,February 2018,2.65,2.41,3.9%,25.0%,0.3%,0.82,14.5%,15.1%,72.4%,5.9%,30.6%,53.0%,6.6%,9.10,62.5%,80.4%,55.0%,98.1%
02M437,Hudson High School of Learning Technologies,High School,476,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,77.0%,66.0%,68.0%,68.0%,79.0%,77.0%,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,November 2017,2.74,2.51,8.8%,25.6%,0.4%,0.83,6.3%,13.7%,72.5%,6.1%,25.2%,62.8%,3.4%,9.10,85.3%,82.2%,55.2%,96.8%
02M438,International High School at Union Square,High School,356,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,85.0%,93.0%,82.0%,91.0%,86.0%,93.0%,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,December 2016,1.93,2.16,86.2%,3.4%,0.0%,0.97,28.7%,40.2%,71.6%,15.7%,20.2%,53.4%,9.8%,3.90,81.5%,89.0%,33.2%,97.6%
02M439,Manhattan Village Academy,High School,452,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,85.0%,82.0%,78.0%,88.0%,91.0%,88.0%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,"December 9, 2014",3.35,3.32,2.0%,15.7%,0.0%,0.68,1.3%,4.9%,52.7%,8.4%,15.9%,66.6%,8.6%,19.90,72.4%,98.1%,2.2%,97.6%
02M449,Vanguard High School,High School,427,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,86.0%,92.0%,79.0%,92.0%,90.0%,92.0%,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,March-19,2.78,2.50,3.0%,24.6%,0.5%,0.76,5.6%,8.9%,65.1%,5.9%,24.6%,59.3%,6.8%,7.90,82.9%,87.0%,42.3%,95.5%
02M459,Manhattan International High School,High School,313,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,85.0%,93.0%,83.0%,95.0%,91.0%,95.0%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,"April 1, 2015",1.98,2.19,71.6%,2.2%,0.3%,0.93,18.5%,23.3%,63.6%,14.4%,15.0%,50.8%,19.5%,6.90,72.7%,87.7%,40.1%,97.5%
02M475,Stuyvesant High School,High School,3316,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,90.0%,84.0%,84.0%,92.0%,87.0%,93.0%,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,January-19,4.20,4.39,0.0%,0.5%,0.0%,0.40,0.1%,2.0%,28.8%,73.2%,0.9%,3.0%,18.8%,2.90,90.7%,96.8%,5.8%,96.6%
02M489,High School of Economics and Finance,High School,741,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,82.0%,82.0%,73.0%,84.0%,85.0%,87.0%,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,May-19,2.90,2.89,5.9%,19.3%,0.9%,0.77,4.7%,10.9%,65.7%,21.6%,25.0%,44.3%,8.0%,12.00,70.5%,89.8%,23.3%,97.0%
02M500,Unity Center for Urban Technologies,High School,278,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,90.0%,75.0%,93.0%,78.0%,88.0%,91.0%,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,December 2016,2.73,2.53,6.8%,23.7%,0.4%,0.88,7.2%,18.0%,79.5%,8.3%,25.9%,61.2%,4.0%,12.00,33.3%,80.4%,55.0%,95.9%
02M507,Urban Assembly Gateway School for Technology,High School,456,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,89.0%,90.0%,79.0%,88.0%,88.0%,91.0%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,18-May-16,3.01,2.93,3.5%,22.4%,0.0%,0.67,2.2%,9.2%,51.3%,6.4%,30.9%,54.6%,6.6%,2.00,74.3%,92.2%,24.0%,96.5%
02M519,Talent Unlimited High School,High School,518,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,77.0%,71.0%,72.0%,77.0%,89.0%,84.0%,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,February 2018,3.29,3.09,1.0%,14.1%,0.2%,0.53,1.7%,5.2%,40.0%,3.9%,30.5%,44.6%,13.7%,2.80,79.4%,90.9%,27.5%,97.6%
02M520,Murry Bergtraum High School for Business Careers,High School,182,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,70.0%,66.0%,62.0%,60.0%,87.0%,79.0%,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,January 2017,2.67,2.37,6.0%,23.6%,0.5%,0.81,11.5%,11.0%,70.9%,4.4%,51.1%,41.2%,1.6%,4.70,68.8%,78.2%,56.0%,97.9%
02M529,Jacqueline Kennedy Onassis High School,High School,443,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,72.0%,69.0%,63.0%,77.0%,79.0%,78.0%,Developing,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,November 2016,2.68,2.42,9.0%,20.1%,2.3%,0.79,10.8%,13.1%,69.5%,6.1%,24.2%,65.2%,3.4%,15.10,48.6%,78.5%,64.0%,97.2%
02M531,Repertory Company High School for Theatre Arts,High School,237,Exceeding Target,Meeting Target,,Approaching Target,Approaching Target,Meeting Target,Exceeding Target,71.0%,69.0%,48.0%,70.0%,83.0%,85.0%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,"March 6, 2015",3.33,3.13,0.4%,16.9%,0.0%,0.56,2.1%,5.1%,41.8%,0.8%,32.5%,46.0%,18.1%,3.50,86.7%,91.0%,31.1%,94.6%
02M533,Union Square Academy for Health Sciences,High School,414,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,76.0%,70.0%,69.0%,76.0%,92.0%,84.0%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Well Developed,November-18,2.82,2.69,7.5%,15.2%,0.2%,0.83,2.9%,10.4%,74.2%,11.4%,20.5%,61.1%,6.5%,7.10,62.1%,87.8%,39.1%,96.8%
