DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum,Quality Review - How effective is the teaching and learning,Quality Review - How well does the school assess what students are learning,Quality Review - How clearly are high expectations communicated to students and staff,Quality Review - How well do teachers work with each other,Quality Review - How safe and inclusive is the school while supporting social-emotional growth,Quality Review - How well does the school allocate and manage resources,"Quality Review - How well does the school identify, track, and meet its goals",Quality Review - How thoughtful is the school s approach to teacher development and evaluation,Quality Review - How well are school decisions evaluated and adjusted,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent Overage/Undercredited,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
10X549,Discovery High School,High School,489,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,86.0%,91.0%,71.0%,98.0%,96.0%,93.0%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,December 2017,2.55,2.31,25.4%,25.2%,0.6%,0.91,15.5%,19.2%,80.0%,4.5%,16.6%,76.3%,2.2%,12.10,66.7%,89.1%,25.6%,97.8%
10X565,High School for Energy and Technology,High School,406,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,78.0%,80.0%,73.0%,88.0%,87.0%,84.0%,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,March 2018,2.56,2.35,14.3%,27.1%,2.2%,0.89,10.6%,18.0%,79.3%,3.9%,23.9%,70.2%,1.2%,3.70,62.5%,83.1%,51.0%,96.7%
10X696,High School of American Studies at Lehman College,High School,411,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,89.0%,87.0%,84.0%,90.0%,85.0%,92.0%,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,,,,,,"February 25, 2015",4.09,4.26,0.0%,2.7%,0.2%,0.26,0.2%,1.9%,16.8%,21.9%,3.9%,10.5%,58.6%,12.90,96.0%,96.1%,9.0%,96.7%
11X249,Bronx Health Sciences High School,High School,295,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,79.0%,82.0%,68.0%,87.0%,87.0%,84.0%,Proficient,Proficient,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,Well Developed,Proficient,March 2017,2.84,2.64,4.7%,11.5%,0.3%,0.71,6.1%,11.2%,59.0%,6.4%,55.6%,32.2%,3.7%,15.10,78.9%,94.4%,16.4%,98.5%
11X253,Bronx High School for Writing and Communication Ar,High School,317,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,86.0%,93.0%,82.0%,96.0%,92.0%,95.0%,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,December 2016,2.54,2.23,15.5%,23.7%,0.0%,0.82,16.4%,17.4%,68.8%,4.7%,47.6%,44.2%,2.2%,8.00,65.2%,84.2%,39.5%,97.7%
11X265,Bronx Lab School,High School,371,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,81.0%,87.0%,72.0%,90.0%,92.0%,91.0%,Proficient,Developing,Proficient,Proficient,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,December 2016,2.52,2.25,15.4%,30.5%,5.9%,0.90,13.7%,18.1%,82.5%,2.7%,34.8%,56.3%,3.2%,5.60,77.4%,80.6%,49.0%,95.6%
11X270,Academy for Scholarship and Entrepreneurship: A Co,High School,368,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,76.0%,82.0%,64.0%,90.0%,94.0%,88.0%,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,April 2018,2.53,2.24,5.2%,22.6%,3.5%,0.78,10.6%,16.3%,69.6%,1.6%,64.1%,30.4%,1.9%,14.10,77.8%,84.0%,49.7%,95.0%
11X275,High School of Computers and Technology,High School,542,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,78.0%,85.0%,66.0%,89.0%,79.0%,88.0%,Proficient,Proficient,Developing,Well Developed,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,May 2018,2.72,2.56,8.1%,25.8%,3.0%,0.84,6.1%,16.8%,73.4%,8.1%,35.2%,53.5%,1.5%,1.40,83.8%,87.1%,32.3%,95.5%
11X288,Collegiate Institute for Math and Science,High School,607,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,78.0%,82.0%,66.0%,88.0%,85.0%,83.0%,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,May 2017,3.19,3.12,3.3%,18.1%,1.5%,0.72,6.9%,6.4%,60.3%,11.4%,34.3%,40.4%,11.9%,5.00,79.4%,88.8%,28.5%,96.4%
11X290,Bronx Academy of Health Careers,High School,359,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,78.0%,80.0%,60.0%,90.0%,97.0%,88.0%,Proficient,Developing,Developing,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Proficient,November 2017,2.61,2.29,13.1%,21.4%,0.0%,0.86,11.1%,22.3%,74.4%,3.9%,41.8%,51.8%,1.1%,6.90,81.5%,90.0%,32.6%,96.9%
